,"Group name","Pelagic Shark mono-sp. (t/km²/year)","Carniv. dem. elasmo. mono-sp fleet (t/km²/year)","Benthiv. dem. elasmo. mono-sp fleet (t/km²/year)","Sea bass mono-sp fleet (t/km²/year)","Anglerfish lg. mono-sp fleet (t/km²/year)","Anglerfish sm. mono-sp fleet (t/km²/year)","Hake lg. mono-sp fleet (t/km²/year)","Hake sm. mono-sp fleet (t/km²/year)","Cod ad. mono-sp fleet (t/km²/year)","Cod sm. mono-sp fleet (t/km²/year)","Whiting mono-sp fleet (t/km²/year)","Haddock mono-sp fleet (t/km²/year)","Pouts mono-sp fleet (t/km²/year)","Megrim mono-sp fleet (t/km²/year)","Sole mono-sp fleet (t/km²/year)","Plaice mono-sp fleet (t/km²/year)","Pisciv. dem. mono-sp fleet (t/km²/year)","Epibenthiv. mono-sp fleet (t/km²/year)","Small dem. mono-sp fleet (t/km²/year)","Endobenthiv. mono-sp fleet (t/km²/year)","Mackerel mono-sp fleet (t/km²/year)","Horse mackerel mono-sp fleet (t/km²/year)","Boarfish mono-sp fleet (t/km²/year)","Sprat mono-sp fleet (t/km²/year)","Blue whiting mono-sp fleet (t/km²/year)","Pilchard mono-sp fleet (t/km²/year)","Herring mono-sp fleet (t/km²/year)","Large pelagic mono-sp fleet (t/km²/year)","Medium pelagic mono-sp fleet (t/km²/year)","Squids mono-sp fleet (t/km²/year)","Benth. cephalopods mono-sp fleet (t/km²/year)","Commercial crust. mono-sp fleet (t/km²/year)","Nephrops mono-sp fleet (t/km²/year)","Commercial bivalves mono-sp fleet (t/km²/year)","Shrimps mono-sp fleet (t/km²/year)","Carniv. Necro. inv. mono-sp fleet (t/km²/year)","Surf. Suspensiv. Deposiv. mono-sp fleet (t/km²/year)","TotalCatch (t/km²/year)",
40,Shrimps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000657897,0,0,0.000657897,
41,"Carnivorous/Necrophagous benth. inv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03317602,0,0.03317602,
42,"Suspension/Surface detritus feeder benth. inv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01262178,0.01262178,
43,"Subsurface deposit feeder benth. inv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,Suprabenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,"Benthic meiofauna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,Macrozooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,"Mesozooplankton - Large",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,"Mesozooplankton - Small",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,Microzooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,"Phytoplankton - Large",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,"Phytoplankton - Small",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,Discards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Total catch",0.004030601,0.04301453,0.07231379,0.006220607,0.08727402,0.01892244,0.07503401,0.002870128,0.03143921,0.007781875,0.04658661,0.02361321,0.007717402,0.07391045,0.01437749,0.02881616,0.1087501,0.02142815,0.005228128,0.02701353,0.119125,0.1762339,1.463347E-08,0.02946571,0.0374262,0.02706771,0.08453646,0.0547801,0.001255181,0.006796535,0.01728386,0.09817203,0.02356819,0.06309443,0.000657897,0.03317602,0.01262178,1.491603,
,"Trophic level",4.735411,4.374942,3.953471,4.168199,4.640335,4.462098,4.46656,4.007174,4.164575,3.949148,4.19817,3.425944,3.612771,4.165271,3.314175,3.316283,4.409558,3.668694,3.456413,3.303896,3.567963,3.573006,3.287347,3.231555,3.71091,3.210589,3.353361,4.290073,3.185056,4.159558,3.9084,3.59761,3.308754,2,3.085793,2.745113,2.053128,3.759796,
