,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km²)","Biomass (t/km²)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km²)","BA rate (/year)",
36,"Long-rough dab",4.181308,1,0.35,0.35,,0.7,3.4,0.5445839,0.2058823,,,
37,Flounder,4.383806,1,0.25,0.25,,1.1,3.2,0.2804955,0.34375,,,
38,Sole,3.999008,1,0.158,0.158,,0.8,3.1,0.9147645,0.2580645,,,
39,"Lemon sole",3.939239,1,0.305,0.305,,0.864,4.32,0.2450846,0.2,,,
40,Witch,4.046757,1,0.082,0.082,,0.9,3,0.4312021,0.3,,,
41,"Turbot and brill",4.535772,1,0.054,0.054,,0.86,2.3,0.1409995,0.373913,,,
42,Megrim,4.458177,1,0.034,0.034,,0.72,3.1,0.250377,0.2322581,,,
43,Halibut,4.514681,1,0.033,0.033,,0.16,3.14,0.2582143,0.05095541,,,
44,Dragonets,3.979897,1,0.045,0.045,,1.5,6,0.860719,0.25,,,
45,"Catfish (Wolf-fish)",4.275761,1,0.014,0.014,,0.48,1.7,0.7923454,0.2823529,,,
46,"Large demersal fish",4.20923,1,0.01698435,0.01698435,,0.55,2.54,0.9,0.2165354,,,
47,"Small demersal fish",4.212109,1,0.3661745,0.3661745,,1.42,3.7,0.98,0.3837838,,,
48,"Miscellaneous filterfeeding pelagic fish",3.433309,1,0.02968085,0.02968085,,4,10.19,0.98,0.3925417,,,
49,"Squid & cuttlefish",3.829332,1,0.08,0.08,,4.5,20,0.8989547,0.225,,,
50,"Fish larvae",2.845545,1,0.3319319,0.3319319,,4,20,0.99,0.2,,,
51,"Carnivorous zooplankton",3.230454,1,3.140585,3.140585,,4,12.5,0.9900001,0.32,,,
52,"Herbivorous & Omnivorous zooplankton (copepods)",2.056931,1,16,16,,9.2,30,0.4641149,0.3066667,,,
53,"Gelatinous zooplankton",3.576121,1,0.066,0.066,,2.858,6.351111,0.7722634,0.45,,,
54,"Large crabs",3.762803,1,1.354,1.354,,0.5540781,2.770391,0.8429062,0.2,,,
55,Nephrops,3.507892,1,1.1,1.1,,0.37,1.85,0.9353819,0.2,,,
56,"Epifaunal macrobenthos (mobile grazers)",3.313158,1,78,78,,0.3883938,1.941969,0.4282883,0.2,,,
57,"Infaunal macrobenthos",2.878157,1,136,136,,1,3.333333,0.2765957,0.3,,,
58,Shrimp,3.054128,1,0.5,0.5,,3,10,0.4313732,0.3,,,
59,"Small mobile epifauna (swarming crustaceans)",2.914192,1,30,30,,1.9,5.428571,0.9199939,0.35,,,
60,"Small infauna (polychaetes)",2.954143,1,150,150,,0.9,3,0.9076213,0.3,,,
61,"Sessile epifauna",2.79703,1,105,105,,0.26,1.3,0.04173046,0.2,,,
62,Meiofauna,3.029703,1,4.115498,4.115498,,35,125,0.9899999,0.28,,,
63,"Benthic microflora (incl. Bacteria, protozoa))",2.237624,1,0.105,0.105,,9470,18940,0.9884871,0.5,,,
64,"Planktonic microflora (incl. Bacteria, protozoa)",2.138614,1,1.46,1.46,,571,1142,0.7196866,0.5,,,
65,Phytoplankton,1,1,7.5,7.5,,286.6667,,0.2120528,,,,
66,"Detritus - DOM -water column",1,1,25,25,,,,0.9155484,,605.9225,24.2369,
67,"Detritus - POM - sediment",1,1,25,25,,,,0.9222074,,676.5804,27.06322,
68,Discards,1,1,50,50,,,,0.007605341,,,,
